id	height(cm)	weight(kg)
1	123	57
2	133	56
3	123	71
4	164	89
5	188	77
6	129	98
7	160	46
8	175	99
9	124	80
10	177	80
11	184	79
12	188	71
13	187	74
14	119	93
15	146	77
16	172	88
17	147	57
18	165	69
19	161	47
20	187	75
21	146	82
22	185	90
23	136	62
24	192	100
25	155	91
26	170	58
27	112	89
28	178	76
29	164	91
30	193	45
31	138	60
32	196	74
33	153	41
34	165	59
35	165	54
36	129	60
37	194	103
38	191	95
39	128	74
40	149	98
41	130	99
42	158	45
43	183	86
44	153	93
45	134	78
46	123	77
47	133	104
48	114	79
49	170	59
50	162	74
51	145	85
52	128	61
53	180	82
54	129	65
55	153	71
56	141	97
57	191	64
58	198	45
59	136	46
60	179	73
61	193	71
62	127	73
63	179	89
64	192	78
65	133	84
66	126	91
67	156	84
68	172	77
69	191	94
70	172	61
71	166	67
72	154	79
73	191	102
74	162	89
75	137	56
76	168	94
77	124	63
78	169	82
79	175	83
80	166	87
81	155	101
82	166	47
83	198	71
84	128	89
85	172	83
86	174	49
87	163	47
88	127	78
89	119	97
90	140	48
91	114	63
92	121	82
93	116	82
94	174	76
95	126	89
96	124	46
97	139	62
98	184	74
99	136	95
100	116	88
101	140	71
102	118	83
103	171	103
104	166	81
105	153	99
106	195	84
107	124	68
108	131	49
109	191	104
110	133	45
111	177	76
112	161	80
113	137	70
114	111	51
115	153	66
116	156	90
117	171	80
118	189	67
119	159	82
120	124	42
121	139	71
122	195	100
123	146	101
124	143	100
125	154	69
126	190	83
127	141	48
128	164	92
129	148	46
130	144	57
131	116	55
132	141	41
133	131	53
134	170	67
135	157	82
136	117	63
137	157	103
138	131	57
139	180	47
140	115	98
141	134	41
142	172	70
143	167	42
144	146	53
145	192	70
146	182	89
147	176	62
148	163	74
149	191	64
150	157	87
151	118	46
152	164	82
153	173	78
154	145	45
155	152	55
156	121	99
157	113	101
158	138	94
159	195	69
160	155	48
161	179	100
162	169	65
163	129	66
164	148	66
165	115	40
166	157	65
167	124	95
168	155	53
169	193	101
170	148	52
171	113	79
172	119	66
173	127	51
174	158	62
175	150	63
176	132	66
177	181	87
178	123	66
179	151	60
180	128	52
181	192	80
182	136	84
183	165	68
184	196	104
185	163	61
186	124	41
187	172	51
188	138	50
189	135	101
190	177	69
191	140	84
192	187	82
193	182	91
194	175	97
195	196	65
196	129	87
197	122	79
198	191	85
199	162	55
200	151	49
201	180	56
202	196	43
203	141	49
204	192	76
205	190	57
206	129	77
207	154	91
208	119	93
209	173	69
210	165	91
211	139	66
212	153	73
213	187	49
214	179	92
215	191	59
216	177	64
217	141	43
218	183	78
219	140	103
220	121	92
221	170	55
222	169	67
223	111	94
224	127	61
225	117	72
226	149	86
227	128	51
228	118	101
229	170	46
230	128	87
231	180	74
232	140	67
233	139	61
234	129	51
235	153	91
236	130	50
237	195	92
238	139	93
239	148	93
240	193	63
241	178	43
242	117	60
243	160	81
244	196	99
245	110	99
246	139	91
247	156	83
248	190	82
249	139	100
250	159	96
251	116	85
252	132	93
253	185	94
254	122	64
255	198	53
256	136	62
257	110	88
258	159	95
259	187	84
260	152	88
261	139	40
262	111	64
263	153	89
264	118	63
265	115	68
266	145	60
267	136	47
268	149	63
269	182	58
270	139	61
271	168	74
272	154	45
273	180	93
274	118	43
275	162	80
276	188	100
277	170	104
278	140	60
279	121	78
280	166	101
281	114	40
282	188	97
283	147	50
284	137	45
285	148	82
286	170	53
287	130	61
288	112	104
289	136	87
290	148	90
291	143	52
292	175	101
293	141	71
294	145	102
295	164	54
296	192	69
297	181	42
298	161	93
299	193	43
300	128	85
301	144	85
302	171	96
303	138	80
304	135	62
305	121	90
306	113	42
307	165	73
308	148	44
309	178	98
310	189	52
311	189	83
312	145	46
313	139	62
314	161	97
315	178	76
316	196	81
317	196	78
318	185	96
319	190	69
320	188	95
321	110	66
322	161	92
323	190	59
324	149	41
325	146	101
326	149	80
327	187	98
328	184	102
329	133	63
330	154	75
331	161	94
332	184	100
333	132	46
334	162	82
335	121	60
336	179	59
337	177	52
338	195	47
339	127	69
340	135	46
341	183	99
342	199	67
343	123	73
344	148	61
345	175	103
346	165	62
347	157	100
348	144	66
349	183	51
350	136	90
351	170	42
352	151	43
353	182	63
354	164	100
355	143	88
356	178	62
357	139	42
358	182	95
359	121	54
360	152	65
361	119	64
362	159	60
363	123	85
364	174	78
365	164	85
366	155	47
367	113	62
368	120	88
369	121	69
370	113	101
371	168	85
372	167	60
373	120	88
374	142	50
375	190	61
376	140	64
377	117	86
378	192	48
379	110	57
380	111	72
381	117	60
382	125	94
383	144	50
384	159	102
385	127	54
386	146	71
387	164	43
388	166	57
389	136	79
390	162	60
391	187	87
392	122	98
393	157	67
394	139	65
395	169	58
396	115	91
397	157	90
398	184	87
399	178	63
400	119	75
401	181	102
402	156	55
403	192	76
404	140	91
405	179	84
406	128	51
407	173	53
408	180	60
409	175	47
410	165	76
411	127	95
412	145	101
413	165	56
414	196	46
415	195	57
416	182	58
417	164	79
418	192	49
419	148	76
420	147	95
421	136	77
422	113	65
423	162	98
424	191	82
425	171	48
426	168	63
427	197	93
428	137	57
429	199	103
430	152	92
431	142	69
432	120	102
433	170	61
434	132	48
435	134	69
436	144	50
437	187	98
438	114	40
439	121	76
440	155	82
441	191	65
442	177	49
443	153	92
444	195	77
445	142	102
446	141	44
447	159	104
448	154	68
449	161	77
450	162	42
451	189	79
452	116	88
453	195	77
454	142	101
455	179	70
456	122	84
457	198	66
458	127	53
459	133	96
460	156	41
461	196	102
462	172	103
463	134	87
464	151	87
465	173	85
466	122	79
467	186	65
468	131	95
469	181	69
470	197	75
471	118	53
472	116	75
473	186	102
474	156	54
475	194	68
476	115	46
477	182	94
478	173	48
479	170	85
480	193	69
481	113	60
482	189	65
483	169	98
484	155	96
485	175	92
486	143	60
487	117	98
488	192	102
489	122	77
490	125	43
491	141	56
492	196	67
493	174	87
494	140	76
495	135	51
496	196	105
497	174	96
498	148	100
499	147	78
500	155	87
501	176	73
502	115	43
503	121	53
504	175	57
505	122	62
506	162	71
507	140	79
508	142	79
509	193	60
510	143	48
511	116	89
512	167	81
513	133	76
514	113	73
515	161	86
516	149	52
517	137	93
518	115	92
519	160	75
520	187	80
521	156	58
522	166	102
523	140	72
524	186	84
525	119	92
526	162	54
527	151	51
528	127	96
529	146	73
